key,place_name,admin_name1,latitude,longitude,accuracy
382405,Narol,Gujarat,22.8667,72.5917,0
382410,Odhav G V M M Nd,Gujarat,22.8667,72.5917,0
382415,Odhav I E,Gujarat,22.8667,72.5917,0
382421,Adalaj,Gujarat,22.8667,72.5917,0
382422,Uvarsad,Gujarat,22.8667,72.5917,0
382423,Kasturinagar Sertha,Gujarat,22.8667,72.5917,0
382424,Chand Kheda,Gujarat,22.8667,72.5917,0
382425,Bareja,Gujarat,22.85,72.5833,4
382426,Jetalpur,Gujarat,22.8833,72.6,4
382435,Nandej,Gujarat,22.8667,72.5917,0
382443,Isanpur,Gujarat,22.8667,72.5917,0
382449,Janta Nagar,Gujarat,22.8667,72.5917,0
382450,Barwala Ghelasa,Gujarat,22.8667,72.5917,0
382451,Salangpur Hanuman,Gujarat,22.8667,72.5917,0
382465,Fedra Fertilizemagar,Gujarat,22.8667,72.5917,0
382470,Digvijagar,Gujarat,22.8667,72.5917,0
382481,Chandlodia,Gujarat,22.8667,72.5917,0
382610,Pethapur,Gujarat,23.1733,72.4283,0
382620,Randheja,Gujarat,23.1733,72.4283,0
382630,Rupal,Gujarat,23.1733,72.4283,0
382640,Sardhev,Gujarat,23.1733,72.4283,0
382650,Unava Balva,Gujarat,23.1733,72.4283,0
382655,Balva,Gujarat,23.1733,72.4283,0
382704,Charadu,Gujarat,23.375,72.425,0
382705,Dangarva,Gujarat,23.3833,72.45,4
382706,Nandasan,Gujarat,23.3667,72.4,4
382708,Vadasma,Gujarat,23.375,72.425,0
382709,VADU Mahesana,Gujarat,23.375,72.425,0
382710,Jagidan,Gujarat,23.3,72.3333,0
382713,Akhaj,Gujarat,23.3,72.3333,0
382715,Kadi,Gujarat,23.3,72.3333,4
382718,Ghumansan,Gujarat,23.3,72.3333,0
382721,Industrial Estate,Gujarat,23.1333,72.3667,0
382725,Kaloli E,Gujarat,23.1333,72.3667,0
382726,Adraj Merda,Gujarat,23.1333,72.3667,0
382728,Thol,Gujarat,23.1333,72.3667,4
382729,Chhatral,Gujarat,23.1333,72.3667,0
382730,Langhnej,Gujarat,23.3333,72.5667,0
382733,Saij,Gujarat,23.3333,72.5667,0
382734,Wamaj,Gujarat,23.3333,72.5667,0
382735,Nardipur,Gujarat,23.3333,72.5667,4
382736,Jamla,Gujarat,23.3333,72.5667,0
382737,Paliad Veda,Gujarat,23.3333,72.5667,0
382739,Limbodara,Gujarat,23.3333,72.5667,0
382740,Pansar,Gujarat,23.1167,71.7667,0
382743,Isand,Gujarat,23.1167,71.7667,0
382745,Bajana,Gujarat,23.1167,71.7667,4
382750,Dasada,Gujarat,23.3167,71.8333,4
382755,Zinzuwada,Gujarat,23.3167,71.8333,0
382760,R S,Gujarat,23.225,72.1875,0
382765,Patdi,Gujarat,23.225,72.1875,0
382775,Lakhtar,Gujarat,22.85,71.7833,4
382780,Adariyana,Gujarat,23.225,72.1875,0
382810,Charada,Gujarat,23.5417,72.9167,0
382815,Gavada,Gujarat,23.5417,72.9167,0
382816,Malosan,Gujarat,23.5417,72.9167,0
382820,Gerita Kolvada R S,Gujarat,23.5417,72.9167,0
382823,Samau,Gujarat,23.5417,72.9167,0
382833,Vadasan,Gujarat,23.5417,72.9167,0
382835,Lodra,Gujarat,23.5417,72.9167,0
382840,Ladol,Gujarat,23.6167,72.7333,4
382857,Mahudi,Gujarat,23.5417,72.9167,0
382861,Jantral,Gujarat,23.5417,72.9167,0
382863,Fudeda,Gujarat,23.5417,72.9167,0
382867,Dabhla,Gujarat,23.5417,72.9167,0
382868,Tintodan,Gujarat,23.5417,72.9167,0
382871,Ghantu Dhanpura,Gujarat,23.5417,72.9167,0
382875,Nava Sangpur,Gujarat,23.5417,72.9167,0
382880,Ranasan,Gujarat,23.4667,73.1,4
383001,Hajipura,Gujarat,23.5762,74.9214,0
383030,Gambhoi,Gujarat,23.5762,74.9214,0
383110,Jadar,Gujarat,23.5762,74.9214,0
383120,Salal,Gujarat,23.5762,74.9214,0
383205,Nani Bhaghol,Gujarat,24.65,79.6583,0
383215,Talod,Gujarat,24.65,79.6583,0
383220,Illol,Gujarat,24.65,79.6583,0
383225,Davad,Gujarat,24.65,79.6583,0
383230,Umedgadh,Gujarat,22.2,70.8667,0
383235,Vadali,Gujarat,22.2,70.8667,4
383240,Bamna,Gujarat,27.1,88.45,0
383245,Bazar,Gujarat,27.1,88.45,4
383246,Takatuka,Gujarat,27.1,88.45,0
383250,Tintoi,Gujarat,24.65,79.6583,0
383251,Lusadia,Gujarat,24.65,79.6583,0
383255,R S,Gujarat,24.65,79.6583,0
383270,Radhivad,Gujarat,24.65,79.6583,0
383275,Laxmipura,Gujarat,24.65,79.6583,0
383276,Raigadh,Gujarat,24.65,79.6583,0
383305,Harsol,Gujarat,23.3667,73,4
383307,Vadagam Sk,Gujarat,23.3667,73,0
383325,Bayad,Gujarat,23.2167,73.2167,4
383327,Choila,Gujarat,23.2167,73.2167,0
383335,Gabat,Gujarat,23.2667,73.35,4
383345,Malpur,Gujarat,22.05,72.5667,4
383410,Badoli,Gujarat,23.8333,73,0
383421,Chithoda,Gujarat,23.8333,73,0
383430,Idar,Gujarat,23.8333,73,4
